Carla Interface.agents.Ego Vehicle_1.accelerations;Carla Interface.agents.Ego Vehicle_1.applied_input;Carla Interface.agents.Ego Vehicle_1.cruise_control_speed
[-11.602999687194824, -19.583860397338867, -0.004672529641538858];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-9.555654525756836, -16.14260482788086, -0.0006319624953903258];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-7.834012031555176, -13.250185012817383, 0.010229546576738358];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-7.834012031555176, -13.250185012817383, 0.010229546576738358];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-6.412258148193359, -10.839486122131348, -0.010382627137005329];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-6.412258148193359, -10.839486122131348, -0.010382627137005329];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-5.134697437286377, -8.685454368591309, -0.0023918794468045235];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.713743209838867, -6.299656867980957, 0.008736404590308666];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.042635440826416, -5.151040077209473, -0.00212127435952425];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.042635440826416, -5.151040077209473, -0.00212127435952425];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.042635440826416, -5.151040077209473, -0.00212127435952425];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.8427295684814453, -4.803201198577881, -0.002286371774971485];[-0.002798901405185461, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.7919554710388184, -4.706844329833984, 0.003042839001864195];[-0.0027593409176915884, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.7810401916503906, -4.675670623779297, 3.275596827734262e-05];[-0.0027593409176915884, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.7810401916503906, -4.675670623779297, 3.275596827734262e-05];[-0.0027593409176915884, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.8026318550109863, -4.610788345336914, 0.07482240349054337];[-0.0028780221473425627, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.8026318550109863, -4.610788345336914, 0.07482240349054337];[-0.0028780221473425627, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.7601447105407715, -4.698090553283691, 0.12541314959526062];[-0.0029373629949986935, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.739902973175049, -4.591574192047119, -0.09285027533769608];[-0.0029967036098241806, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.739902973175049, -4.591574192047119, -0.09285027533769608];[-0.0029967036098241806, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-0.8667261600494385, -1.4153929948806763, -0.055094361305236816];[-0.0030362640973180532, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-0.8667261600494385, -1.4153929948806763, -0.055094361305236816];[-0.0030362640973180532, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[0.1631251871585846, 0.33201637864112854, -0.031783465296030045];[-0.003095604944974184, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-0.9309613108634949, -1.5098865032196045, -0.017596255987882614];[-0.0031054948922246695, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.1514954566955566, -3.557847738265991, -0.009152213111519814];[-0.0031351649668067694, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-4.772175312042236, -7.958366394042969, -0.004620817489922047];[-0.0031450551468878984, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-4.772175312042236, -7.958366394042969, -0.004620817489922047];[-0.0031450551468878984, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-4.703527450561523, -7.84610652923584, -0.00248927203938365];[-0.003174725454300642, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-5.512597560882568, -9.191559791564941, -0.001215223572216928];[-0.003243956482037902, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-4.3181023597717285, -7.180160045623779, -0.00015343655832111835];[-0.0032835169695317745, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.1432902812957764, -5.207301616668701, 0.001053455169312656];[-0.003323077457025647, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.1432902812957764, -5.207301616668701, 0.001053455169312656];[-0.003323077457025647, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.971677303314209, -4.911739826202393, 0.0011643189936876297];[-0.0033725276589393616, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.3135175704956055, -3.8163907527923584, 0.0012281914241611958];[-0.0034318685065954924, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.2674167156219482, -3.7283542156219482, 0.0016146639827638865];[-0.0034813189413398504, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.339266300201416, -3.8143467903137207, 0.0011778776533901691];[-0.0035109894815832376, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.339266300201416, -3.8143467903137207, 0.0011778776533901691];[-0.0035109894815832376, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.776315927505493, -4.539872169494629, 0.001223290921188891];[-0.0035505499690771103, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.7384095191955566, -4.482454776763916, 0.000990812899544835];[-0.003570330096408725, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.784947633743286, -4.548792362213135, 0.0006852582446299493];[-0.0035505499690771103, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.9367339611053467, -4.812399387359619, 0.0009794646175578237];[-0.0035109894815832376, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.02034068107605, -4.952718257904053, 0.0006735441274940968];[-0.0034417586866766214, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.02034068107605, -4.952718257904053, 0.0006735441274940968];[-0.0034417586866766214, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.9808108806610107, -4.885341644287109, 0.0004748773935716599];[-0.003402198199182749, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.9290883541107178, -4.793287754058838, 0.0006074031116440892];[-0.0033725276589393616, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.995026111602783, -4.885745525360107, 0.0003650690778158605];[-0.0033725276589393616, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.005309581756592, -4.887288570404053, 0.0003121168410871178];[-0.003402198199182749, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.005309581756592, -4.887288570404053, 0.0003121168410871178];[-0.003402198199182749, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.958805799484253, -4.796726226806641, 0.0001792618859326467];[-0.003461538814008236, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.926257371902466, -4.728015899658203, 0.0004649446054827422];[-0.0035109894815832376, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.8970601558685303, -4.6678948402404785, 0.00013452194980345666];[-0.003580220276489854, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.879006862640381, -4.614604949951172, 8.29996497486718e-05];[-0.003698901506140828, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.879006862640381, -4.614604949951172, 8.29996497486718e-05];[-0.003698901506140828, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.859377145767212, -4.57112455368042, 0.00019861629698425531];[-0.0037780224811285734, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.853605031967163, -4.5368499755859375, 0.00014689186355099082];[-0.003926374018192291, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.8436479568481445, -4.504316329956055, 5.755233723903075e-05];[-0.004035165533423424, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.837118148803711, -4.479249477386475, 0.00012414978118613362];[-0.004143956582993269, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.8382859230041504, -4.446804046630859, 1.680504828982521e-05];[-0.004361538682132959, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.8382859230041504, -4.446804046630859, 1.680504828982521e-05];[-0.004361538682132959, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.8374273777008057, -4.421595096588135, 0.00010009991092374548];[-0.004549451172351837, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.828787326812744, -4.391201972961426, 6.822256546001881e-05];[-0.004776923451572657, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.85235333442688, -4.364303112030029, 5.468002564157359e-05];[-0.005172528326511383, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.862133026123047, -4.3484110832214355, 4.668779001804069e-05];[-0.0054395608603954315, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.862133026123047, -4.3484110832214355, 4.668779001804069e-05];[-0.0054395608603954315, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.870650053024292, -4.334231376647949, -4.220047230774071e-06];[-0.0056967041455209255, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.887444257736206, -4.316080093383789, 8.398547834076453e-06];[-0.006052747834473848, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.8935720920562744, -4.305117130279541, 5.3365452913567424e-05];[-0.006290110293775797, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
